L	1	Toto je ("test").
M	1	POCITACOVE_UVODZOVKY	1	9	10	Other	Na tomto mieste by mali byť dolné (uvádzacie) úvodzovky: <suggestion>„</suggestion>.	„
M	1	POCITACOVE_UVODZOVKY	3	14	15	Other	Na tomto mieste by mali byť horné (ukončovacie) úvodzovky: <suggestion>“</suggestion>.	“
L	2	Toto je („test“).
L	3	Toto je "test".
M	3	POCITACOVE_UVODZOVKY	2	8	9	Other	Na tomto mieste by mali byť dolné (uvádzacie) úvodzovky: <suggestion>„</suggestion>.	„
M	3	POCITACOVE_UVODZOVKY	3	13	14	Other	Na tomto mieste by mali byť horné (ukončovacie) úvodzovky: <suggestion>“</suggestion>.	“
L	4	To jest „test“.
L	5	Toto je („test").
M	5	UNPAIRED_BRACKETS		8	9	Other	Nepárový symbol: zdá sa, že chýba ')'	
M	5	POCITACOVE_UVODZOVKY	3	14	15	Other	Na tomto mieste by mali byť horné (ukončovacie) úvodzovky: <suggestion>“</suggestion>.	“
M	5	UNPAIRED_BRACKETS		15	16	Other	Nepárový symbol: zdá sa, že chýba '('	
L	6	Toto je („test“).
L	7	Toto je „test".
M	7	UNPAIRED_BRACKETS		8	9	Other	Nepárový symbol: zdá sa, že chýba '“'	
M	7	POCITACOVE_UVODZOVKY	3	13	14	Other	Na tomto mieste by mali byť horné (ukončovacie) úvodzovky: <suggestion>“</suggestion>.	“
L	8	Toto je „test“.
L	9	Toto je „test" spoľahlivosti.
M	9	UNPAIRED_BRACKETS		8	9	Other	Nepárový symbol: zdá sa, že chýba '“'	
M	9	POCITACOVE_UVODZOVKY	4	13	14	Other	Na tomto mieste by mali byť horné (ukončovacie) úvodzovky:\n                    <suggestion>“</suggestion>.	“
L	10	Toto je „test“ spoľahlivosti.
L	11	Toto je test - alebo aj nie.
M	11	SPOJOVNIK_1	1	8	20	Other	Spojovník nemá byť oddelený medzerou. Odstráňte medzery (<suggestion>test-alebo</suggestion>) alebo ho nahraďte pomlčkou (<suggestion>test – alebo</suggestion>).	test-alebo|test – alebo
L	12	Toto je test – alebo aj nie.
L	13	Toto je zeleno - žltý dres.
M	13	SPOJOVNIK_1	1	8	21	Other	Spojovník nemá byť oddelený medzerou. Odstráňte medzery (<suggestion>zeleno-žltý</suggestion>) alebo ho nahraďte pomlčkou (<suggestion>zeleno – žltý</suggestion>).	zeleno-žltý|zeleno – žltý
L	14	Toto je zeleno-žltý dres.
M	14	MORFOLOGIK_RULE_SK_SK		8	19	UnknownWord	Nájdený pravdepodobný preklep	zelenožltý
L	15	Toto je test -alebo aj nie.
M	15	SPOJOVNIK_2	2	8	19	Other	Spojovník nemá byť oddelený medzerou. \n\t\t\tOdstráňte úvodnú medzeru (<suggestion>test-alebo</suggestion>) \n\t\t\talebo ho nahraďte pomlčkou a medzerou \n\t\t\t(<suggestion>test – alebo</suggestion>).\n\t\t	test-alebo|test – alebo
L	16	Toto je test – alebo aj nie.
L	17	Toto je zeleno -žltý dres.
M	17	SPOJOVNIK_2	2	8	20	Other	Spojovník nemá byť oddelený medzerou. \n\t\t\tOdstráňte úvodnú medzeru (<suggestion>zeleno-žltý</suggestion>) \n\t\t\talebo ho nahraďte pomlčkou a medzerou \n\t\t\t(<suggestion>zeleno – žltý</suggestion>).\n\t\t	zeleno-žltý|zeleno – žltý
L	18	Toto je zeleno-žltý dres.
M	18	MORFOLOGIK_RULE_SK_SK		8	19	UnknownWord	Nájdený pravdepodobný preklep	zelenožltý
L	19	Toto je test- alebo aj nie.
M	19	SPOJOVNIK_3	3	8	19	Other	Spojovník nemá byť oddelený medzerou. \n\t\t\tOdstráňte medzeru (<suggestion>test-alebo</suggestion>) \n\t\t\talebo ho nahraďte medzerou a pomlčkou\n\t\t\t(<suggestion>test – alebo</suggestion>) alebo odstráňte medzeru\n\t\t	test-alebo|test – alebo
L	20	Toto je test – alebo aj nie.
L	21	Toto je zeleno- žltý dres.
M	21	SPOJOVNIK_3	3	8	20	Other	Spojovník nemá byť oddelený medzerou. \n\t\t\tOdstráňte medzeru (<suggestion>zeleno-žltý</suggestion>) \n\t\t\talebo ho nahraďte medzerou a pomlčkou\n\t\t\t(<suggestion>zeleno – žltý</suggestion>) alebo odstráňte medzeru\n\t\t	zeleno-žltý|zeleno – žltý
L	22	Toto je zeleno-žltý dres.
M	22	MORFOLOGIK_RULE_SK_SK		8	19	UnknownWord	Nájdený pravdepodobný preklep	zelenožltý
L	23	Pondelok–piatok.
M	23	POMLCKA_1	1	0	15	Other	Pomlčka sa oddeľuje medzerami.\n\t\t\tPridajte medzery \n\t\t\t(<suggestion>Pondelok – piatok</suggestion>)\n\t\t\talebo ju nahraďte spojovníkom \n\t\t\t(<suggestion>Pondelok-piatok</suggestion>).\n\t\t	Pondelok – piatok|Pondelok-piatok
L	24	Pondelok – piatok.
L	25	Toto je test...
M	25	TRIBODKY	1	12	15	Other	Na tomto mieste by mal byť znak trojbodka: <suggestion>…</suggestion>	…
L	26	Toto je test…
L	27	Bum ozvalo sa zo skrine.
M	27	CIARKA_CITOSLOVCE	1	0	10	Other	Pridajte čiarku za citoslovce <suggestion>Bum, ozvalo</suggestion>	Bum, ozvalo
L	28	Bum, ozvalo sa zo skrine.
L	29	Bum sa ozvalo zo skrine.
L	30	Však sme hriešni božemôj!
M	30	CIARKA_CITOSLOVCE	2	9	24	Other	Pridajte čiarku pred citoslovce <suggestion>hriešni, božemôj</suggestion>	hriešni, božemôj
L	31	Však sme hriešni, božemôj!
L	32	Rozlíšenie obrazovky 800x600
M	32	ZNAK_NASOBENIA_1	1	21	28	Other	Zameňte písmeno 'x' za znak násobenia: <suggestion>800×600</suggestion>.	800×600
L	33	Rozlíšenie obrazovky 800×600
L	34	Rozlíšenie obrazovky 800x600x400
M	34	ZNAK_NASOBENIA_2	2	21	32	Other	Zameňte písmeno 'x' za znak násobenia: <suggestion>800×600×400</suggestion>.	800×600×400
L	35	Rozlíšenie obrazovky 800×600×400
L	36	Toto je tzv. „testík“ slova pomoc.
M	36	tzv	1	13	21	Other	Odstránte úvodzovky po skratke tzv. <suggestion>testík</suggestion>.	testík
L	37	Toto je tzv. testík slova pomoc.
M	37	MORFOLOGIK_RULE_SK_SK		13	19	UnknownWord	Nájdený pravdepodobný preklep	gestík|testis|testín|textík
L	38	Pri príležitosti medzinárodného dňa detí.
M	38	PAMATNY_DEN	1	17	40	Other	Pri pamätných dňoch použite veľké začiatočné písmeno:\n\t\t\t<suggestion>Medzinárodného dňa detí</suggestion>.\n\t\t	Medzinárodného dňa detí
L	39	Pri príležitosti medzinárodného Dňa detí.
M	39	PAMATNY_DEN	1	17	40	Other	Pri pamätných dňoch použite veľké začiatočné písmeno:\n\t\t\t<suggestion>Medzinárodného dňa detí</suggestion>.\n\t\t	Medzinárodného dňa detí
L	40	Pri príležitosti medzinárodného Dňa Detí.
M	40	PAMATNY_DEN	1	17	40	Other	Pri pamätných dňoch použite veľké začiatočné písmeno:\n\t\t\t<suggestion>Medzinárodného dňa detí</suggestion>.\n\t\t	Medzinárodného dňa detí
L	41	Pri príležitosti Medzinárodného dňa detí.
L	42	Pri príležitosti dňa matiek.
M	42	PAMATNY_DEN	2	17	27	Other	Pri pamätných dňoch použite veľké začiatočné písmeno:\n    \t\t    \n\t\t    <suggestion>Dňa matiek</suggestion>.\n\t    \t	Dňa matiek
L	43	Pri príležitosti Dňa matiek.
L	44	Pri príležitosti Medzinárodného dňa detí.
L	45	Pred dňom slobody softvéru pršalo.
M	45	den_slobody_softveru	3	5	26	Other	\n\t\t    Pri pamätných dňoch použite veľké začiatočné písmeno:\n\t\t    \n\t\t    <suggestion>Dňom slobody softvéru</suggestion>.\n\t        	Dňom slobody softvéru
L	46	Pred Dňom slobody softvéru pršalo.
L	47	Pri príležitosti dňa víťazstva nad fašizmom.
M	47	víťazstva_nad_fašizmom	4	17	43	Other	\n\t\t    Pri pamätných dňoch použite veľké začiatočné písmeno:\n\t\t    \n\t\t    <suggestion>Dňa víťazstva nad fašizmom</suggestion>.\n\t        	Dňa víťazstva nad fašizmom
L	48	Pri príležitosti Dňa víťazstva nad fašizmom.
L	49	Pri príležitosti dňa vzniku Slovenskej republiky.
M	49	vzniku_Slovenskej_republiky	5	17	48	Other	\n\t\t    Pri pamätných dňoch použite veľké začiatočné písmeno:\n\t\t    \n\t\t    <suggestion>Dňa vzniku Slovenskej republiky</suggestion>.\n\t        	Dňa vzniku Slovenskej republiky
L	50	Pri príležitosti Dňa vzniku Slovenskej republiky.
L	51	Nevedel, koho dom kúpil.
M	51	KOHO_CI	1	9	17	Other	\n\t\t\tZámeno 'koho' nahraďte zámenom 'čí': \n\t\t\t<suggestion>čí dom</suggestion>.\n                	čí dom
L	52	Nevedel, čí dom kúpil.
L	53	Nevedel, koho nový vysoký dom kúpil.
M	53	KOHO_CI	2	9	29	Other	\n\t\t\tZámeno 'koho' nahraďte zámenom 'čí': \n\t\t\t<suggestion>čí nový vysoký dom</suggestion>.\n                	čí nový vysoký dom
L	54	Nevedel, čí nový vysoký dom kúpil.
L	55	Nevedel, koho bol ten vysoký dom.
M	55	KOHO_CI	1	9	17	Other	\n\t\t\tZámeno 'koho' nahraďte zámenom 'čí': \n\t\t\t<suggestion>čích bol</suggestion>.\n                	čích bol
L	56	Nevedel, čí bol ten vysoký dom.
L	57	Aha, aký peknému strom.
L	58	Aha, aký pekný strom.
L	59	Aha, aký pekný stromu.
L	60	Aha, aký pekný strom.
