S	L'home menja pa.
T	L'	el:DA0CS0|ell:PP3CSA00
T	home	home:I|home:NCMS000
T	 	null:null
T	menja	menja:NCFS000|menjar:VMIP3S00|menjar:VMM02S00
T	 	null:null
T	pa	pa:NCMS000
T	.	null:null
S	Anem a l'escola.
T	Anem	anar:VMIP1P00|anar:VMM01P00|anar:VMSP1P00
T	 	null:null
T	a	a:NCFS000|a:SPS00
T	 	null:null
T	l'	el:DA0CS0|ell:PP3CSA00
T	escola	escola:NCFS000|escolar:VMIP3S00|escolar:VMM02S00
T	.	null:null
S	Dóna'm el llibre.
T	Dóna	donar:VMIP3S00|donar:VMM02S00
T	'm	jo:P010S000|jo:PP1CS000
T	 	null:null
T	el	el:DA0MS0|ell:PP3MSA00
T	 	null:null
T	llibre	llibre:NCMS000
T	.	null:null
S	Vés-hi demà.
T	Vés	anar:VMM02S00
T	-hi	hi:PP3CN000
T	 	null:null
T	demà	demà:NCMS000|demà:RG
T	.	null:null
S	Porta-li el diari.
T	Porta	Porta:NPCNSP0|porta:NCFS000|portar:VMIP3S00|portar:VMM02S00
T	-li	ell:PP3CSD00
T	 	null:null
T	el	el:DA0MS0|ell:PP3MSA00
T	 	null:null
T	diari	diari:AQ0MS0|diari:NCMS000
T	.	null:null
S	Anar-se'n és difícil.
T	Anar	anar:VMN00000
T	-se	es:P0300000
T	'n	en:PP3CN000
T	 	null:null
T	és	ser:VSIP3S00
T	 	null:null
T	difícil	difícil:AQ0CS0
T	.	null:null
S	El col·legi és nou.
T	El	el:DA0MS0|ell:PP3MSA00
T	 	null:null
T	col·legi	col·legi:NCMS000
T	 	null:null
T	és	ser:VSIP3S00
T	 	null:null
T	nou	nou_1:NCFS000|nou_2:NCMS000|nou:AQ0MS0|nou:DN0CP0|nou:NCCN000|noure:VMIP3S00|noure:VMM02S00
T	.	null:null
S	El paral·lel fa goig.
T	El	el:DA0MS0|ell:PP3MSA00
T	 	null:null
T	paral·lel	paral·lel:AQ0MS0|paral·lel:NCMS000
T	 	null:null
T	fa	fa:NCMS000|fer:VMIP3S00
T	 	null:null
T	goig	goig:NCMS000|gojar:VMIP1S0B
T	.	null:null
S	És un mers-cov estrany.
T	És	ser:VSIP3S00
T	 	null:null
T	un	un:DI0MS0|un:PI0MS000
T	 	null:null
T	mers-cov	null:null
